[1/200] - ptime: 31.88, loss_D_A: 0.751, loss_D_B: 0.897, loss_G_A: 1.027, loss_G_B: 1.131, loss_A_cycle: 6.960, loss_B_cycle: 7.764
[2/200] - ptime: 28.02, loss_D_A: 0.612, loss_D_B: 0.463, loss_G_A: 1.475, loss_G_B: 1.333, loss_A_cycle: 5.478, loss_B_cycle: 5.109
[3/200] - ptime: 27.23, loss_D_A: 0.176, loss_D_B: 0.294, loss_G_A: 0.800, loss_G_B: 1.106, loss_A_cycle: 5.376, loss_B_cycle: 4.93
[3/200] - ptime: 27.23, loss_D_A: 0.176, loss_D_B: 0.294, loss_G_A: 0.800, loss_G_B: 1.106, loss_A_cycle: 5.376, loss_B_cycle: 4.93
[5/200] - ptime: 30.07, loss_D_A: 0.096, loss_D_B: 0.154, loss_G_A: 0.836, loss_G_B: 0.834, loss_A_cycle: 5.486, loss_B_cycle: 4.794
[6/200] - ptime: 31.59, loss_D_A: 0.172, loss_D_B: 0.121, loss_G_A: 0.950, loss_G_B: 0.819, loss_A_cycle: 5.275, loss_B_cycle: 4.719
[7/200] - ptime: 31.09, loss_D_A: 0.082, loss_D_B: 0.070, loss_G_A: 0.792, loss_G_B: 0.798, loss_A_cycle: 5.200, loss_B_cycle: 4.669
[8/200] - ptime: 27.24, loss_D_A: 0.086, loss_D_B: 0.198, loss_G_A: 0.783, loss_G_B: 0.974, loss_A_cycle: 5.096, loss_B_cycle: 4.606
[9/200] - ptime: 32.42, loss_D_A: 0.079, loss_D_B: 0.066, loss_G_A: 0.829, loss_G_B: 0.731, loss_A_cycle: 5.053, loss_B_cycle: 4.544
[10/200] - ptime: 26.20, loss_D_A: 0.089, loss_D_B: 0.068, loss_G_A: 0.787, loss_G_B: 0.788, loss_A_cycle: 5.058, loss_B_cycle: 4.506
[11/200] - ptime: 28.00, loss_D_A: 0.041, loss_D_B: 0.088, loss_G_A: 0.774, loss_G_B: 0.853, loss_A_cycle: 4.885, loss_B_cycle: 4.338
[12/200] - ptime: 31.36, loss_D_A: 0.073, loss_D_B: 0.061, loss_G_A: 0.749, loss_G_B: 0.818, loss_A_cycle: 4.936, loss_B_cycle: 4.428
[13/200] - ptime: 31.62, loss_D_A: 0.084, loss_D_B: 0.068, loss_G_A: 0.870, loss_G_B: 0.745, loss_A_cycle: 4.774, loss_B_cycle: 4.111
[14/200] - ptime: 26.16, loss_D_A: 0.052, loss_D_B: 0.096, loss_G_A: 0.829, loss_G_B: 0.702, loss_A_cycle: 4.876, loss_B_cycle: 4.122
[15/200] - ptime: 29.50, loss_D_A: 0.131, loss_D_B: 0.157, loss_G_A: 0.782, loss_G_B: 0.776, loss_A_cycle: 4.781, loss_B_cycle: 4.184
[16/200] - ptime: 26.71, loss_D_A: 0.050, loss_D_B: 0.074, loss_G_A: 0.773, loss_G_B: 0.676, loss_A_cycle: 4.708, loss_B_cycle: 4.077
[17/200] - ptime: 35.54, loss_D_A: 0.051, loss_D_B: 0.069, loss_G_A: 0.802, loss_G_B: 0.747, loss_A_cycle: 4.617, loss_B_cycle: 4.034
[18/200] - ptime: 25.81, loss_D_A: 0.063, loss_D_B: 0.093, loss_G_A: 0.777, loss_G_B: 0.771, loss_A_cycle: 4.526, loss_B_cycle: 4.016
[19/200] - ptime: 28.85, loss_D_A: 0.082, loss_D_B: 0.102, loss_G_A: 0.840, loss_G_B: 0.800, loss_A_cycle: 4.436, loss_B_cycle: 3.930
[20/200] - ptime: 30.90, loss_D_A: 0.053, loss_D_B: 0.069, loss_G_A: 0.799, loss_G_B: 0.747, loss_A_cycle: 3.972, loss_B_cycle: 4.019
[21/200] - ptime: 29.86, loss_D_A: 0.102, loss_D_B: 0.068, loss_G_A: 0.701, loss_G_B: 0.702, loss_A_cycle: 3.800, loss_B_cycle: 3.863
[22/200] - ptime: 31.55, loss_D_A: 0.082, loss_D_B: 0.124, loss_G_A: 0.683, loss_G_B: 0.692, loss_A_cycle: 3.572, loss_B_cycle: 3.946
[23/200] - ptime: 32.08, loss_D_A: 0.109, loss_D_B: 0.103, loss_G_A: 0.767, loss_G_B: 0.674, loss_A_cycle: 3.410, loss_B_cycle: 3.721
[24/200] - ptime: 29.64, loss_D_A: 0.078, loss_D_B: 0.080, loss_G_A: 0.758, loss_G_B: 0.735, loss_A_cycle: 3.210, loss_B_cycle: 3.426
[25/200] - ptime: 29.72, loss_D_A: 0.051, loss_D_B: 0.087, loss_G_A: 0.759, loss_G_B: 0.755, loss_A_cycle: 3.092, loss_B_cycle: 3.119
[26/200] - ptime: 30.13, loss_D_A: 0.097, loss_D_B: 0.081, loss_G_A: 0.742, loss_G_B: 0.731, loss_A_cycle: 2.999, loss_B_cycle: 2.978
[27/200] - ptime: 33.99, loss_D_A: 0.100, loss_D_B: 0.074, loss_G_A: 0.703, loss_G_B: 0.681, loss_A_cycle: 2.922, loss_B_cycle: 2.935
[28/200] - ptime: 29.78, loss_D_A: 0.086, loss_D_B: 0.103, loss_G_A: 0.796, loss_G_B: 0.787, loss_A_cycle: 2.772, loss_B_cycle: 2.795
[29/200] - ptime: 29.39, loss_D_A: 0.089, loss_D_B: 0.082, loss_G_A: 0.735, loss_G_B: 0.702, loss_A_cycle: 2.721, loss_B_cycle: 2.751
[30/200] - ptime: 31.45, loss_D_A: 0.081, loss_D_B: 0.099, loss_G_A: 0.756, loss_G_B: 0.761, loss_A_cycle: 2.697, loss_B_cycle: 2.610
[31/200] - ptime: 32.65, loss_D_A: 0.089, loss_D_B: 0.085, loss_G_A: 0.746, loss_G_B: 0.703, loss_A_cycle: 2.677, loss_B_cycle: 2.551
[32/200] - ptime: 31.11, loss_D_A: 0.101, loss_D_B: 0.095, loss_G_A: 0.775, loss_G_B: 0.679, loss_A_cycle: 2.647, loss_B_cycle: 2.690
[33/200] - ptime: 14.43, loss_D_A: 0.076, loss_D_B: 0.077, loss_G_A: 0.716, loss_G_B: 0.673, loss_A_cycle: 2.561, loss_B_cycle: 2.429
[34/200] - ptime: 9.46, loss_D_A: 0.061, loss_D_B: 0.094, loss_G_A: 0.783, loss_G_B: 0.670, loss_A_cycle: 2.531, loss_B_cycle: 2.463
[35/200] - ptime: 9.90, loss_D_A: 0.090, loss_D_B: 0.100, loss_G_A: 0.767, loss_G_B: 0.686, loss_A_cycle: 2.487, loss_B_cycle: 2.271
[36/200] - ptime: 12.30, loss_D_A: 0.071, loss_D_B: 0.126, loss_G_A: 0.761, loss_G_B: 0.927, loss_A_cycle: 2.382, loss_B_cycle: 2.344
[37/200] - ptime: 9.59, loss_D_A: 0.069, loss_D_B: 0.184, loss_G_A: 0.760, loss_G_B: 0.758, loss_A_cycle: 2.436, loss_B_cycle: 2.311
[38/200] - ptime: 12.15, loss_D_A: 0.092, loss_D_B: 0.083, loss_G_A: 0.649, loss_G_B: 0.692, loss_A_cycle: 2.323, loss_B_cycle: 2.195
[39/200] - ptime: 9.85, loss_D_A: 0.119, loss_D_B: 0.062, loss_G_A: 0.721, loss_G_B: 0.715, loss_A_cycle: 2.338, loss_B_cycle: 2.302
[40/200] - ptime: 9.51, loss_D_A: 0.091, loss_D_B: 0.080, loss_G_A: 0.744, loss_G_B: 0.744, loss_A_cycle: 2.299, loss_B_cycle: 2.179
[41/200] - ptime: 11.91, loss_D_A: 0.069, loss_D_B: 0.067, loss_G_A: 0.712, loss_G_B: 0.751, loss_A_cycle: 2.245, loss_B_cycle: 2.197
